Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Account Engagement URL,pi__url__c,URL (255),Account Engagement URL,pi__url__c,URL(255),
Google Analytics Campaign,pi__utm_campaign__c,Text (255),Google Analytics Campaign,pi__utm_campaign__c,Text(255),
Google Analytics Content,pi__utm_content__c,Text (255),Google Analytics Content,pi__utm_content__c,Text(255),
Google Analytics Medium,pi__utm_medium__c,Text (255),Google Analytics Medium,pi__utm_medium__c,Text(255),
Google Analytics Source,pi__utm_source__c,Text (255),Google Analytics Source,pi__utm_source__c,Text(255),
Google Analytics Term,pi__utm_term__c,Text (255),Google Analytics Term,pi__utm_term__c,Text(255),
Maps Assignment Rule,maps__AssignmentRule__c,Lookup ‚Üí Maps Assignment Rule,Maps Assignment Rule,maps__AssignmentRule__c,Lookup(maps__AssignmentRule__c),
Interested In,Interested_In__c,Picklist (255),—,Interested_In__c,—,
Has General Contractor,Has_General_Contractor__c,Picklist (255),—,Has_General_Contractor__c,—,
Skye Walls Interests,Skye_Walls_Interests__c,Picklist (255),—,Skye_Walls_Interests__c,—,
Skye Walls Consultation Type,SkyeWallsConsultationType__c,Picklist (255),—,SkyeWallsConsultationType__c,—,
Category,Category__c,Picklist (255),—,Category__c,—,
Director Approval Flag,Director_Approval_Flag__c,Checkbox,—,Director_Approval_Flag__c,—,
Grade,Grade__c,Picklist (255),—,Grade__c,—,
Interests,Interests__c,Picklist (255),—,Interests__c,—,
Lead Type,Lead_Type__c,Picklist (255),—,Lead_Type__c,—,
Territory,Territory__c,Picklist (255),—,Territory__c,—,
Timeline,Timeline__c,Text (255),—,Timeline__c,—,
Type of Opportunity,Type_of_Opportunity__c,Picklist (255),—,Type_of_Opportunity__c,—,
Windows & Doors,Windows_Doors__c,Picklist (255),—,Windows_Doors__c,—,
Lead Record Link,Lead_Record_Link__c,Formula (Text),—,Lead_Record_Link__c,—,
LM Project Type,LM_Project_Type__c,Text (255),—,LM_Project_Type__c,—,
LM Home Type,LM_Home_Type__c,Text (255),—,LM_Home_Type__c,—,
LM Interested Products,LM_Interested_Products__c,Text (255),—,LM_Interested_Products__c,—,
LM Window Count,LM_Window_Count__c,Text (255),—,LM_Window_Count__c,—,
LM Door Count,LM_Door_Count__c,Text (255),—,LM_Door_Count__c,—,
LM Benefits,LM_Benefits__c,Text (255),—,LM_Benefits__c,—,
LM Planning to Purchase,LM_Planning_to_Purchase__c,Text (255),—,LM_Planning_to_Purchase__c,—,
Prior Lead Status,Prior_Lead_Status__c,Text (255),—,Prior_Lead_Status__c,—,
Type Of Business,BD_Type__c,Text (255),—,BD_Type__c,—,
Entered Sales Qualification,Entered_Sales_Qualification__c,Date,—,Entered_Sales_Qualification__c,—,
Send Qualification Escalation Email,Send_Qualification_Escalation_Email__c,Formula (Date),—,Send_Qualification_Escalation_Email__c,—,
Lead Owner Email,Lead_Owner_Email__c,Formula (Text),—,Lead_Owner_Email__c,—,
Skywalls,Skywalls__c,Picklist (255),—,Skywalls__c,—,
Brand,Brand__c,Text (100),Brand,Brand__c,Formula (Text),
Contact Method,Contact_Method__c,Text (100),—,Contact_Method__c,—,
BD Accept Trailer Delivery,BD_Accept_Trailer_Delivery__c,Text (255),—,BD_Accept_Trailer_Delivery__c,—,
BD Can Unload,BD_Can_Unload__c,Text (255),—,BD_Can_Unload__c,—,
BD Previous Sales,BD_Previous_Sales__c,Text (255),—,BD_Previous_Sales__c,—,
