Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Opp to Account Mismatch,Opp_to_Account_Mismatch__c,Formula (Checkbox),Opp to Account Mismatch,(Not found),—,
Dealer Contact,Dealer_Contact__c,Lookup(Contact),Dealer Contact,(Not found),—,
Opportunity Owner,Opportunity_Owner__c,Formula (Text),Opportunity Owner (duplicate),OwnerId,Lookup(User),
Highest Quote Task Sent,Highest_Quote_Task_Sent__c,Checkbox,Highest Quote Task Sent,(Not found),—,
Opportunity Address,Opportunity_Address__c,Text Area(255),Opportunity Address,(Not found),—,
Executive Dealer Sales to Budget,Executive_Dealer_Sales_to_Budget__c,Formula (Currency),Executive Dealer Sales to Budget,(Not found),—,
Outside Sales Rep Email,Outside_Sales_Rep_Email__c,Email(80),Outside Sales Rep Email,(Not found),—,
Marketing Campaign,Marketing_Campaign__c,Text Area(255),Marketing Campaign,(Not found as "Marketing Campaign"),—,
Account Zone,Account_Zone__c,Picklist,Account Zone,(Not found),—,
Opportunities (Manual Entry),Opportunities_Manual_Entry__c,Lookup(Account),Opportunities (Manual Entry),(Not found),—,
Opportunities (CV),Opportunities_CV__c,Lookup(Account),Opportunities (CV),(Not found),—,
CV Username,CV_Username__c,Text(100),CV Username,(Not found),—,
Building Stories,Building_Stories__c,Number(10,0),Building Stories,(Not found as "Building Stories"),—,
Material Square Footage,Material_Square_Footage__c,Number(18,0),Material Square Footage,(Not found),—,
Architect Opportunities (Closed - Won),Arch_Opp_ClosedWon__c,Lookup(Account),Architect Opportunities (Closed - Won),(Not found),—,
Community Name,Community_Name__c,Text(255),Community Name,(Not found),—,
Project Value,Project_Value__c,Currency(18,0),Project Value,Project_Value__c,Currency(18,0),
Prospect Start Date,Prospect_Start_Date__c,Date,Prospect Start Date,(Not found),—,
Awarded Date,Awarded_Date__c,Date,Awarded Date,CloseDate,Date,
Community Website,Community_Website__c,URL(255),Community Website,(Not found),—,
Volume Product,Volume_Product__c,Multi-Select Picklist,Volume Product,(Not found),—,
Standard or Optional,Standard_or_Optional__c,Picklist,Standard or Optional,(Not found),—,
Activity Count,Activity_Count__c,Number(18,0),Activity Count,(Not found),—,
Last Activity Date (Old),Last_Activity_Date_Old__c,Date/Time,Last Activity Date (Old),(Not found),—,
Last Activity Date,Last_Activity_Date__c,Date/Time,Last Activity Date,LastActivityDate,Date,
Last Visit Date,Last_Visit_Date__c,Date/Time,Last Visit Date,(Not found),—,
Last Visit Date (old),Last_Visit_Date_old__c,Date/Time,Last Visit Date (old),(Not found),—,
Material Required Date,Material_Required_Date__c,Date,Material Required Date,(Not found),—,
Commercial - Educational,Commercial_Educational__c,Checkbox,Commercial - Educational,(Not found),—,
Commercial - Healthcare,Commercial_Healthcare__c,Checkbox,Commercial - Healthcare,(Not found),—,
Commercial - Office,Commercial_Office__c,Checkbox,Commercial - Office,(Not found),—,
